City,N,P,K,ph
Baksa,21,24,22,6.33
Barpeta,119,26,18,6.14
Biswanath,70,18,31,6.28
Bongaigaon,82,25,19,7.9
Cachar,83,13,50,7.0
Charaideo,53,76,50,6.91
Chirang,54,49,48,7.08
Darrang,47,88,32,5.89
Dhemaji,110,22,21,6.07
Dhubri,75,83,7,6.43
Dibrugarh,85,7,43,7.94
Dima Hasao,97,67,8,7.1
Goalpara,104,42,43,5.59
Golaghat,20,24,51,7.6
Hailakandi,95,49,19,6.87
Hojai,64,40,50,7.83
Jorhat,62,58,11,7.85
Kamrup,24,35,44,7.98
Kamrup Metropolitan,21,61,47,7.34
Karbi Anglong,82,56,30,6.05
Karimganj,75,62,30,5.97
Kokrajhar,72,10,17,5.8
Lakhimpur,83,49,30,7.9
Majuli,60,55,10,7.18
Morigaon,39,23,50,5.68
Nagaon,68,84,25,7.43
Nalbari,95,33,44,7.04
Sivasagar,28,19,23,6.14
Sonitpur,85,61,30,6.5
South Salmara-Mankachar,37,70,24,5.9
Tinsukia,109,14,41,7.98
Udalguri,46,20,42,7.47
West Karbi Anglong,73,13,31,7.61
