City,N,P,K,ph
Balod,52,54,29,7.77
Baloda Bazar,60,51,30,7.27
Balrampur,59,58,48,7.1
Bastar,98,48,26,6.93
Bemetara,52,37,38,6.49
Bijapur,89,50,50,5.99
Bilaspur,68,54,20,5.82
Dantewada (South Bastar),82,35,43,7.68
Dhamtari,96,38,47,7.16
Durg,68,55,49,5.77
Gariaband,81,36,47,5.17
Janjgir-Champa,60,40,41,5.11
Jashpur,69,43,36,6.06
Kabirdham (Kawardha),85,41,51,6.82
Kanker (North Bastar),57,46,30,5.92
Kondagaon,51,47,42,5.34
Korba,82,40,47,6.17
Korea (Koriya),98,59,52,7.26
Mahasamund,90,41,50,5.5
Mungeli,62,36,48,5.18
Narayanpur,59,44,44,6.38
Raigarh,84,38,53,7.51
Raipur,76,53,22,5.67
Rajnandgaon,97,50,20,7.22
Sukma,89,41,36,6.41
Surajpur  ,67,35,27,7.45
Surguja,68,54,53,7.59
