City,N,P,K,ph
Ahmedabad,132,15,27,6.75
Amreli,48,18,18,7.5
Anand,92,16,27,7.66
Aravalli,79,15,26,6.97
Banaskantha (Palanpur),62,45,34,7.63
Bharuch,104,43,23,7.33
Bhavnagar,37,42,22,7.87
Botad,131,19,17,5.73
Chhota Udepur,116,22,26,7.41
Dahod,24,23,19,6.46
Dangs (Ahwa),66,33,25,5.8
Devbhoomi Dwarka,47,42,17,6.34
Gandhinagar,88,31,24,5.98
Gir Somnath,113,49,23,5.63
Jamnagar,115,31,32,7.53
Junagadh,71,28,31,6.13
Kheda (Nadiad),8,48,31,7.71
Kutch (Bhuj),15,30,30,7.9
Mahisagar,47,44,16,6.86
Mehsana,137,40,34,6.01
Morbi,24,18,19,5.74
Narmada (Rajpipla),79,33,15,6.42
Navsari,47,46,24,5.95
Panchmahal (Godhra),93,46,32,6.64
Patan,22,24,26,6.09
Porbandar,35,24,30,7.22
Rajkot,34,23,21,7.9
Sabarkantha (Himmatnagar),120,39,32,6.24
Surat,36,38,24,5.74
Surendranagar,4,46,22,6.1
Tapi (Vyara),136,28,28,7.54
Vadodara,47,43,17,7.53
Valsad,123,19,25,6.6
