City,N,P,K,ph
Ambala,52,58,59,6.13
Bhiwani,44,58,36,6.22
Charkhi Dadri,40,45,53,6.31
Faridabad,75,45,38,7.22
Fatehabad,55,56,55,6.27
Gurugram,89,55,36,6.81
Hisar,70,43,41,5.53
Jhajjar,72,51,41,5.93
Jind,86,59,35,6.15
Kaithal,90,45,43,6.44
Karnal,44,54,55,5.72
Kurukshetra,81,47,47,5.72
Mahendragarh,106,40,41,7.27
Nuh,50,52,49,6.63
Palwal,93,44,57,7.3
Panchkula,78,56,38,6.34
Panipat,44,40,52,7.08
Rewari,53,40,47,5.92
Rohtak,48,41,40,6.4
Sirsa,56,53,55,6.58
Sonipat,96,48,56,5.83
Yamunanagar,71,54,55,6.13
