City,N,P,K,ph
Ahmednagar,58,141,120,6.81
Akola,67,147,185,6.85
Amravati,16,81,191,6.36
Aurangabad,75,59,99,6.61
Beed,17,62,73,6.12
Bhandara,77,100,109,6.17
Buldhana,67,53,159,5.65
Chandrapur,19,68,104,5.63
Dhule,42,79,109,5.77
Gadchiroli,35,76,89,5.85
Gondia,32,133,95,6.39
Hingoli,14,141,166,6.33
Jalgaon,47,97,189,5.79
Jalna,68,61,58,5.95
Kolhapur,42,137,128,6.02
Latur,40,74,192,6.66
Mumbai City,22,133,75,6.34
Mumbai Suburban,75,51,65,6.65
Nagpur,18,110,136,5.73
Nanded,33,132,121,6.01
Nandurbar,58,106,147,6.09
Nashik,56,128,183,6.34
Osmanabad,2,124,191,5.87
Palghar,30,98,73,6.27
Parbhani,68,149,156,6.76
Pune,40,122,58,6.78
Raigad,25,102,73,6.54
Ratnagiri,28,82,74,6.48
Sangli,4,124,112,5.78
Satara,47,123,74,5.61
Sindhudurg,25,138,155,6.48
Solapur,66,67,146,6.01
Thane,77,89,125,5.85
Wardha,12,51,150,6.33
Washim,46,137,181,6.03
Yavatmal,64,62,141,6.41
