City,N,P,K,ph
Agar Malwa,54,79,78,8.71
Alirajpur,46,62,34,7.03
Anuppur,50,57,34,7.81
Ashoknagar,20,78,29,6.61
Balaghat,20,60,33,5.8
Barwani,39,79,41,8.45
Betul,55,70,42,5.14
Bhind,51,60,28,7.3
Bhopal,45,57,39,5.58
Burhanpur,38,52,64,6.2
Chhatarpur,18,71,71,8.79
Chhindwara,0,62,20,6.75
Damoh,29,54,28,7.46
Datia,7,50,23,5.38
Dewas,42,55,20,7.41
Dhar,1,78,22,7.4
Dindori,55,83,61,8.37
Guna,16,68,61,5.85
Gwalior,45,76,80,7.26
Harda,21,59,43,8.43
Hoshangabad,19,55,36,5.48
Indore,48,86,43,6.11
Jabalpur,48,77,20,6.34
Jhabua,19,79,33,7.84
Katni,21,66,33,6.76
Khandwa,18,82,70,5.47
Khargone,54,51,58,8.21
Mandla,56,54,25,7.59
Mandsaur,53,73,68,6.74
Morena,7,86,73,8.22
Narsinghpur,31,74,25,8.04
Neemuch,33,72,55,6.11
Panna,54,89,20,6.86
Raisen,47,60,79,6.76
Rajgarh,13,65,43,6.19
Ratlam,48,88,39,5.28
Rewa,42,64,80,6.59
Sagar,55,66,34,6.34
Satna,6,80,59,7.29
Sehore,29,85,21,7.68
Seoni,16,67,20,7.45
Shahdol,1,67,76,7.54
Shajapur,17,77,21,7.67
Sheopur,5,53,46,7.69
Shivpuri,22,74,66,5.49
Sidhi,0,61,70,5.32
Singrauli,50,54,83,6.09
Tikamgarh,25,56,79,7.28
Ujjain,36,88,23,8.34
Umaria,48,75,50,7.3
Vidisha,47,78,22,7.86
