City,N,P,K,ph
Tawang,75,85,199,5.2
West Kameng,52,125,143,5.25
East Kameng,72,92,152,7.84
Papum Pare,24,39,195,6.09
Kurung Kumey,50,54,169,6.45
Kra Daadi,56,127,78,5.35
Lower Subansiri,78,141,28,6.32
Upper Subansiri,65,71,116,7.29
West Siang,95,53,196,7.19
East Siang,58,107,161,7.09
Siang,64,71,143,5.17
Upper Siang,67,79,128,5.08
Lower Siang,94,114,98,5.12
Lower Dibang Valley,68,57,130,7.31
Dibang Valley,47,58,92,6.65
Anjaw,71,107,72,6.72
Lohit,54,44,138,7.62
Namsai,70,119,17,6.78
Changlang,10,83,157,7.58
Tirap,35,107,172,5.66
Longding,19,49,45,6.86
