City,N,P,K,ph
Bokaro,88,54,44,5.33
Chatra,70,60,49,5.26
Deoghar,76,69,20,7.35
Dhanbad,54,38,42,5.42
Dumka,64,48,40,5.74
East Singhbhum (Jamshedpur),43,40,45,5.44
Garhwa,43,47,18,5.42
Giridih,91,47,22,6.69
Godda,51,49,41,6.02
Gumla,86,28,44,6.16
Hazaribag,82,40,39,7.31
Jamtara,60,38,24,5.76
Khunti,48,44,30,5.11
Koderma,40,29,38,6.43
Latehar,97,29,33,7.23
Lohardaga,98,53,27,5.68
Pakur,81,48,45,7.26
Palamu (Daltonganj),68,68,16,5.24
Ramgarh,59,54,44,7.07
Ranchi,46,34,17,5.01
Sahibganj,76,49,25,5.38
Seraikela Kharsawan,82,63,21,7.17
Simdega,84,35,41,5.21
West Singhbhum (Chaibasa),74,39,44,6.33
