City,N,P,K,ph
Bagalkot,72,5,64,6.44
Ballari (Bellary),69,34,58,6.89
Belagavi (Belgaum),75,38,44,6.48
Bengaluru (Bangalore) Rural,114,10,47,6.82
Bengaluru (Bangalore) Urban,55,20,46,5.89
Bidar,54,8,40,6.64
Chamarajanagara,112,10,45,5.81
Chikkaballapura,97,24,41,6.76
Chikkamagaluru (Chikmagalur),111,29,58,6.39
Chitradurga,78,36,43,6.32
Dakshina Kannada,99,11,42,6.37
Davangere,61,31,59,6.9
Dharwad,108,22,44,6.07
Gadag,95,22,58,6.42
Hassan,58,7,57,6.37
Haveri,76,20,64,6.34
Kalaburagi (Gulbarga),112,18,64,6.84
Kodagu,119,9,42,6.79
Kolar,79,15,40,6.69
Koppal,117,38,42,6.9
Mandya,64,6,64,6.82
Mysuru (Mysore),55,30,61,6.2
Raichur,68,22,67,5.98
Ramanagara,59,11,56,6.19
Shivamogga (Shimoga),94,8,47,6.3
Tumakuru (Tumkur),93,25,59,5.92
Udupi,92,39,64,6.7
Uttara Kannada (Karwar),85,5,40,6.66
Vijayapura (Bijapur),88,30,68,5.97
Yadgir,66,38,45,6.88
