City,N,P,K,ph
Angul,70,46,40,7.82
Balangir,82,33,35,6.91
Balasore,73,35,26,7.63
Bargarh,59,43,33,7.5
Bhadrak,79,53,40,6.54
Boudh,76,40,33,6.18
Cuttack,68,31,31,7.72
Deogarh,68,58,32,7.94
Dhenkanal,70,49,28,7.77
Gajapati,65,30,39,6.62
Ganjam,93,37,40,6.16
Jagatsinghpur,93,38,34,7.39
Jajpur,57,42,28,6.17
Jharsuguda,92,38,36,7.82
Kalahandi,89,30,36,7.87
Kandhamal,91,35,26,6.94
Kendrapara,83,42,28,6.42
Kendujhar,66,44,32,7.25
Khordha,62,42,39,7.36
Koraput,84,30,35,7.26
Malkangiri,51,52,29,7.2
Mayurbhanj,93,45,27,7.64
Nabarangpur,96,44,38,7.86
Nayagarh,84,36,25,7.31
Nuapada,89,56,35,7.02
Puri,69,47,22,7.66
Rayagada,95,42,32,7.91
Sambalpur,87,54,30,6.49
Sonepur,54,31,40,6.02
Sundargarh,99,45,31,6.72
