City,N,P,K,ph
Amritsar,104,44,42,6.72
Barnala,81,38,55,6.03
Bathinda,114,55,48,5.41
Faridkot,43,55,56,6.68
Fatehgarh Sahib,75,40,58,6.91
Fazilka,34,61,62,6.95
Ferozepur,54,41,60,5.35
Gurdaspur,44,37,56,6.71
Hoshiarpur,81,61,54,5.49
Jalandhar,78,49,57,6.49
Kapurthala,117,60,37,6.68
Ludhiana,108,41,44,5.36
Mansa,58,45,43,5.3
Moga,71,55,53,6.1
Muktsar,79,48,39,6.24
Nawanshahr,61,43,51,6.69
Pathankot,94,60,38,5.68
Patiala,67,60,60,6.8
Rupnagar,98,30,62,6.5
Sangrur,97,41,59,5.66
SAS Nagar,88,62,60,6.9
SBS Nagar,53,49,59,6.54
Sri Muktsar Sahib,70,41,64,6.59
Tarn Taran,38,36,44,5.27
