City,N,P,K,ph
Ajmer,73,31,49,5.29
Alwar,105,49,36,5.96
Banswara,94,48,35,5.38
Baran,42,54,64,6.5
Barmer,88,30,57,5.88
Bharatpur,34,58,53,6.28
Bhilwara,47,49,32,5.98
Bikaner,41,36,38,7.03
Bundi,69,51,30,5.48
Chittorgarh,58,54,57,5.9
Churu,43,32,39,5.66
Dausa,104,36,30,6.07
Dholpur,52,42,34,6.31
Dungarpur,51,39,33,5.31
Ganganagar,50,33,40,5.04
Hanumangarh,96,59,34,6.4
Jaipur,51,55,37,6.81
Jaisalmer,105,53,50,5.83
Jalore,89,47,54,6.77
Jhalawar,72,49,37,5.35
Jhunjhunu,37,42,64,7.4
Jodhpur,108,32,35,6.93
Karauli,73,48,49,6.89
Kota,97,41,40,6.42
Nagaur,50,46,54,6.44
Pali,37,37,52,5.01
Pratapgarh,32,45,57,7.15
Rajsamand,84,33,54,6.17
Sawai Madhopur,68,37,61,5.89
Sikar,62,30,37,5.88
Sirohi,96,46,61,7.48
Tonk,34,37,55,5.64
Udaipur,36,40,34,6.73
