City,N,P,K,ph
Ariyalur,69,20,32,6.33
Chengalpattu,83,47,23,5.73
Chennai,57,32,20,5.58
Coimbatore,114,49,38,6.27
Cuddalore,71,26,28,5.92
Dharmapuri,120,18,35,6.5
Dindigul,111,43,34,7.16
Erode,110,24,36,7.98
Kallakurichi,121,24,32,6.9
Kanchipuram,98,44,34,6.65
Kanyakumari,101,34,26,5.45
Karur,69,22,38,6.56
Krishnagiri,87,26,35,5.8
Madurai,124,30,30,6.04
Nagapattinam,122,33,39,5.29
Namakkal,102,40,25,7.76
Nilgiris,98,18,36,6.42
Perambalur,93,42,21,7.0
Pudukkottai,50,25,34,5.08
Ramanathapuram,66,32,27,6.67
Salem,69,44,21,5.41
Sivaganga,112,16,22,6.37
Tenkasi,104,48,20,7.97
Thanjavur,123,17,26,6.49
Theni,126,22,25,5.29
Thoothukudi,59,18,31,5.07
Tiruchirappalli,69,30,29,7.9
Tirunelveli,61,40,27,7.89
Tirupathur,61,32,29,7.29
Tiruppur,50,17,22,5.77
Tiruvallur,58,48,27,7.5
Tiruvannamalai,104,16,34,5.21
Tiruvarur,126,22,21,6.68
Vellore,107,18,21,6.34
Viluppuram,90,34,24,5.2
Virudhunagar,103,18,38,6.55
