City,N,P,K,ph
Adilabad,115,36,23,5.78
Asifabad,95,9,29,4.73
Bhadradri Kothagudem,82,51,24,5.68
Jagtial,72,36,21,4.75
Jangaon,121,10,30,7.41
Jayashankar Bhupalpally,56,27,35,7.67
Jogulamba Gadwal,83,42,18,4.92
Kamareddy,137,17,36,7.28
Karimnagar,78,37,25,6.84
Khammam,96,8,21,5.84
Komaram Bheem,62,47,20,5.15
Mahabubabad,51,54,34,5.27
Mahabubnagar,71,22,31,5.47
Mancherial,7,17,17,6.38
Medak,9,9,36,7.51
Medchal–Malkajgiri,20,34,28,7.74
Mulugu,114,15,39,5.34
Nagarkurnool,75,56,32,7.22
Nalgonda,56,30,22,6.04
Narayanpet,107,40,15,5.87
Nirmal,134,39,19,7.06
Nizamabad,8,35,21,5.72
Peddapalli,138,32,36,7.12
Rajanna Sircilla,80,38,24,4.71
Ranga Reddy,85,28,27,6.65
Sangareddy,81,41,17,5.64
Siddipet,46,54,35,5.58
Suryapet,8,35,20,6.4
Vikarabad,71,26,16,4.98
Wanaparthy,52,56,17,6.06
Warangal Rural,106,17,35,4.95
Warangal Urban,43,10,19,7.12
Yadadri Bhuvanagiri,88,58,21,6.98
