City,N,P,K,ph
Agra,63,31,32,6.99
Aligarh,58,23,37,6.54
Allahabad,58,27,16,5.58
Ambedkar Nagar,65,54,15,6.54
Amethi,36,45,23,5.34
Amroha,71,54,32,5.94
Auraiya,52,46,34,7.27
Azamgarh,79,71,17,5.14
Baghpat,92,30,30,6.16
Bahraich,71,44,20,6.64
Ballia,49,51,25,7.12
Balrampur,42,50,21,5.68
Banda,40,33,23,6.27
Barabanki,46,21,30,6.77
Bareilly,72,45,45,7.34
Basti,90,48,37,6.06
Bhadohi,37,57,43,6.03
Bijnor,56,78,30,7.37
Budaun,76,73,38,7.12
Bulandshahr,46,20,35,7.0
Chandauli,52,28,23,6.29
Chitrakoot,79,48,39,6.85
Deoria,90,62,16,5.53
Etah,63,24,49,5.53
Etawah,87,23,18,7.39
Faizabad,71,20,19,6.41
Farrukhabad,87,29,30,6.23
Fatehpur,92,49,45,7.08
Firozabad,68,62,48,7.1
Gautam Buddha Nagar,53,29,41,7.0
Ghaziabad,75,54,24,5.15
Ghazipur,73,65,16,6.68
Gonda,53,49,17,7.28
Gorakhpur,81,52,23,5.49
Hamirpur,81,69,31,6.55
Hapur,76,75,26,6.08
Hardoi,45,34,24,5.13
Hathras,88,66,41,6.76
Jalaun,53,76,21,7.12
Jaunpur,39,65,21,5.04
Jhansi,45,28,16,6.86
Kannauj,71,53,18,6.42
Kanpur Dehat,50,58,47,5.8
Kanpur Nagar,47,35,14,5.95
Kasganj,86,43,49,5.09
Kaushambi,75,55,49,5.41
Kheri,35,65,48,5.47
Kushinagar,49,31,34,5.16
Lalitpur,80,51,34,5.85
Lucknow,85,66,41,6.15
Maharajganj,90,23,47,6.06
Mahoba,91,50,39,6.56
Mainpuri,46,74,47,6.15
Mathura,72,69,26,5.09
Mau,81,40,30,5.63
Meerut,63,74,20,5.59
Mirzapur,70,23,38,5.27
Moradabad,93,51,42,6.33
Muzaffarnagar,98,39,37,6.81
Pilibhit,56,34,20,6.29
Pratapgarh,73,29,42,6.36
Rae Bareli,60,40,33,6.52
Rampur,79,65,47,5.19
Saharanpur,77,62,31,5.2
Sambhal,72,29,21,6.05
Sant Kabir Nagar,65,57,33,6.23
Shahjahanpur,35,76,47,6.05
Shamli,77,77,46,6.54
Shrawasti,81,21,24,6.49
Siddharthnagar,76,74,23,7.23
Sitapur,98,26,35,5.44
Sonbhadra,75,70,18,6.59
Sultanpur,43,45,27,6.45
Unnao,96,24,24,7.47
Varanasi,57,67,37,5.44
