City,N,P,K,ph
Alipurduar,26,133,96,6.05
Bankura,14,149,149,6.35
Birbhum,47,67,73,5.62
Cooch Behar,23,101,142,5.73
Dakshin Dinajpur,26,124,117,6.17
Darjeeling,71,94,56,6.31
Hooghly,16,110,138,5.8
Howrah,59,117,116,6.5
Jalpaiguri,23,63,80,6.64
Jhargram,22,121,107,6.58
Kalimpong,66,63,59,6.76
Kolkata,14,142,103,6.62
Malda,9,152,139,6.43
Murshidabad,23,102,83,6.79
Nadia,7,53,81,5.84
North 24 Parganas,38,73,89,6.86
Paschim Bardhaman,63,58,141,6.37
Paschim Medinipur,55,88,116,6.38
Purba Bardhaman,75,133,95,6.17
Purba Medinipur,12,93,115,6.54
Purulia,20,124,137,5.91
South 24 Parganas,44,93,149,6.71
Uttar Dinajpur,68,110,102,6.15
